__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
_玉兔酱Baby,普通用户,河北 邯郸,#湖南禽流感#????我即使逃过了新冠也逃不过禽流感 ?,收藏转发评论赞1,02月01日 22:59iPhone客户端
·puppylove·,黄V,山东,疫情过去了 奶茶店前面排起了长长的队火锅店烤肉店也都人满为患好不容易排到我了 我高喊:“我要十杯炭火观音奶茶去冰三分甜加丸三！”“我要吃牛肉羊肉毛肚虾滑金针菇宽粉手擀面！”“我要玩跳舞机我想跳摆尾adios hip！”“我要吃酸甜辣两个面两个蛋一根肠的烤冷面 还要吃臭豆腐和章鱼小丸子” ?,收藏转发评论赞6,02月01日 22:59HUAWEI P30 Pro
·黑洞资本,黄V,海外,【机构热议A股走向 央行用充足的流动性硬核回应】受新冠疫情影响，今年A股开市时间延长至2月3日。谈及开市后A股走势将如何，业内人士普遍认为，市场会出现短期波动，消费及交通板块或面临压力；决定A股中长期趋势的仍主要取决于货币政策。就2月3日金融市场开市后，中国人民银行在流动性供给方面的安排，2月1日，央行银行副行长、外汇局局长潘功胜表示，金融市场开市后，央行将加大逆周期调节强度，保持金融市场流动性合理充裕，维护货币市场利率平稳运行。O机构热议A股走向 央行用充足的流动性硬核回应 收起全文d,收藏转发评论赞,02月01日 22:27嘿嘿嘿Android
·蘸点软妹酱·,黄V,重庆,#共战疫情渝你同在#我在“抗击疫情，重庆“雄起”！”项目捐款成功！希望我小小的力量和@肖战DAYTOY公益站 一起，在大大的世界里温暖更多人。@重庆市慈善总会 抗击疫情，重庆“雄起”！ ?,收藏转发评论赞,02月01日 22:59微公益
0819權,普通用户,广东 佛山,全网都是负能量，就不能发布多些正能量吗例如治愈人数高于死亡人数，这不是好事嘛？证明越来越多人康复，而不是每天死抓着又有多少人感染了，#武汉你好吗##疫情##新冠肺炎最新动态# 2佛山·海国大良(清晖店) ?,收藏转发评论赞2,02月01日 22:44OPPO智能手机
0号熵增动力机,普通用户,海外,#抗击肺炎关爱医护# 为爱前行，我一直在路上。我在“疫情一线医护?守护者后盾行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！ @北京感恩公益基金会http://t.cn/A6Pfslok ?,收藏转发 1评论 1赞,02月01日 22:59微公益
1024专员,黄V,山东 临沂,疫情发生后过上了肥猪般的生活～#今日最佳# L1024专员的微博视频 ?,收藏转发 4评论 38赞127,02月01日 22:58热心吃瓜群众
1039温州交通广播,蓝V,None,#1039疫情防控权威发布# 【#深圳确诊患者粪便中检出病毒RNA阳性#】2月1日，深圳市第三人民医院透露，该院肝病研究所研究发现，在某些新型冠状病毒感染的肺炎确诊患者的粪便中检测出2019-nCoV核酸（新型冠状病毒）阳性，提示#粪便中可能有活病毒存在#。第三人民医院研究人员表示，目前正在做进一步分离病毒的研究。提醒广大市民，戴口罩的同时，要勤洗手，注意个人卫生。L深圳卫健委的微博视频 收起全文d,收藏转发评论赞,02月01日 22:57HUAWEI Mate 30 Pro
120斤的瘦勋,普通用户,山西 吕梁,#湖南发生一起禽流感疫情#本命年也太难了?? 2孝义市 ?,收藏转发评论赞1,02月01日 22:58小米8 SE
123gogogo璐,普通用户,其他,再次悼念因为意外而不幸离开我们的科比和gigi，悼念因为此次肺炎疫情奋战在救援前线而不幸离世的英雄们，悼念因为此次疫情感染而不幸离世的那些人们，愿上帝与你们同在！一路走好！?? KAmazing Grace (@网易云音乐) ?,收藏转发评论赞,02月01日 22:58网易云音乐
12W12W12,普通用户,广东 江门,希望疫情赶紧过去，所有人平安健康#万众一心抗击新冠肺炎# 中国加油?? ?,收藏转发评论赞,02月01日 22:28iPhone客户端
13_Behappy,普通用户,其他,"我一个多年老五毛,臭粉红,爱国蛆.(湖北人)这两天已经被搞的心力憔悴,心累了.全国到处都有问题,发达地区比次发达地区相对好一些.这次的疫情从另一个方向看也是好事.刮骨疗伤,去脓包. ?",收藏转发评论赞,02月01日 22:59微博 weibo.com
2013快乐尧娃,普通用户,河北 张家口,我在看：【中高考时间会因疫情推迟吗？教育部官员回应】#跟新浪看热点#  O中高考时间会因疫情推迟吗？教育部官员回应 ?,收藏转发评论赞,02月01日 22:59新浪新闻客户端
2020中个大奖好吗,普通用户,其他,#疫情过后的我# ?,收藏转发评论赞,02月01日 22:58iPhone客户端
20墨兮20,普通用户,其他,新冠病毒，到底是新版SARS，还是流感加强版？一个观点，仅供思考时参考。我本人支持目前采取的所有防控手段。『“新冠肺炎”造成巨大网络恐慌，要想一个办法』O“新冠肺炎”造成巨大网络恐慌，要想一个办法 ?,收藏转发评论赞,02月01日 22:56Android
2月10日天气晴,普通用户,其他,#勇战疫情中国要强# 加油中国，疫情快点结束?????? ?,收藏转发评论 1赞,02月01日 22:58iPhone客户端
3J_永不言弃,普通用户,其他,新冠日记七。好久没下楼了，脚占土地的感觉甚是怀念，但剩下的两个抽屉里翻出来的口罩谁都不敢浪费，昨晚居委会电话我，开始盘查是不是湖北人有没有旅游，回答完毕最关心的还是口罩，居委会说2号登记，觉得熬到希望了。昨天双黄连火了，朋友圈里居然有人几千的买，无语。今天一醒发现普陀那个小白块多了2例，全国一下子多了2000多例，有点懵逼。有的人买不到口罩，有的人利用渠道倒卖别人捐赠的口罩，有的人住不进医院撞墙，有的人被临时隔离还要求这个那个，仿佛被卷入了电影场景 收起全文d,收藏转发评论赞1,02月01日 22:41iPhone客户端
656797zxb,普通用户,其他,全国上下正在齐心协力抗击肺炎疫情！这个时候，如果有人胆敢趁机发国难财的话，不论官多大、职位多高，国家都应当严惩不贷！！！！ 2临夏市 ?,收藏转发评论赞1,02月01日 22:59OPPO智能手机
799smile,普通用户,None,最近新冠肺炎闹得大家人心惶惶的，都大门不出二门不迈的，赶快过去吧，中国加油！不过对于我这个做月子的人就没有那些说法了，毕竟有没有肺炎我都得在家呀，天天床上，餐桌，卫生间，看孩子吃饭睡觉，喂奶，换尿布，洗屁屁，吃饭，睡觉，就这样看着孩子一天天长大，累吗？累，不过累的时候总想着或许有一天他长大了不再需要我的时候，我一定会怀念现在的这些日子的，所以就继续对着他微笑啦，我们彼此见证着彼此的所有喜怒哀乐，不同的是他不懂我的喜怒哀乐，他的喜怒哀乐无非就是吃喝拉撒睡，可爱的小人儿，我想对你说谢谢你选择我做你的妈妈，让我拥有你，让我的日子变得这么这么充实，也想说对不起宝贝你有我这样的麻麻，因为我，感觉让你缺少了好多关爱，不过谁的世界里面有我我不知道，我的世界里面肯定有你，我们都要好好的，不快乐，也不难过，日子大概就是不悲不喜吧，晚安?? 宝贝儿，晚安，自己 2阳泉·平定县 收起全文d,收藏转发评论赞,02月01日 22:45HUAWEI nova 3
7easymoneysniper35,普通用户,上海 崇明县,微博里的一些所谓扣着爱国主义帽子四处逼逼叨叨的人 给爷听好了 知道您相当关切新冠病毒的各种情况 我们也十分关注国家和民族命运 可这并不代表我们不应该为一个曾经深深崇拜挚爱的人缅怀追思 您要是一个个的都tmd这么牛掰 你倒像那些医护人员义无反顾冲上前线奋战啊 当个社区防疫志愿者也是不错的 实在不行就捐款捐物 但上述这些您tmd要是都没做到 只会当一个平凡的人死在家里捧着手机在网络上重拳出击 拿着这个点在关于科比的微博下评头论足偷换概念道德绑架 看不下去恶心着您了 直接滚不就好了吗 非要留下点阴阳怪气的评论才罢休 请你闭上您肮脏的逼嘴 请别亵渎一大群人的青春的回忆和追随的信仰 您什么都不知道就不代表别人一定要跟你一样无知 圈子不同互相尊重 别太自以为是了！ 收起全文d,收藏转发评论赞2,02月01日 22:44iPhone客户端
7小小花骨朵儿,普通用户,其他,抗击新冠 无法大家庭一起过生日小家庭一起祝妈妈 开心 健康 平安 长寿 ?,收藏转发评论赞1,02月01日 22:15Redmi K20 Pro 真旗舰
80030岁创烦凡没救MJR007羊肉脏,普通用户,北京 西城区,重大发现！深圳部分确诊患者粪便中检测出新冠病毒 ?,收藏转发评论赞,02月01日 22:56HUAWEI P30
80030岁创烦凡没救MJR007羊肉脏,普通用户,北京 西城区,湖南发生家禽H5N1禽流感疫情 发病死亡4500只 ?,收藏转发评论赞,02月01日 22:57HUAWEI P30
Aa819医品优,普通用户,其他,《众星为武汉捐款近3亿！张庭夫妇2000万夺第一，沈月捐2000元被嘲》新冠疫情牵动着全国人民的心，从1月24日开始，许多演艺圈中人士慷慨解囊，将源源不断的爱心献给武汉。据...O网页链接 ?,收藏转发评论赞,02月01日 22:43iPhone客户端
aaaaalicia_ni,普通用户,江苏 南京,#没人想听的日常# 啊新冠肺炎也持续一个多月了，每天的消息层出不穷，揪心，愤怒，但确实开始对数字感到麻木。直到今天我妈跟我说，前段时间外公住院，有人送了他一个果篮，其实都是些溢价严重的水果，但是外公准备留给过年回武汉的我。因着突然爆发的疫情我们退票了没能成行，水果都在家放坏了外公也没舍得吃。那一刻我真想哇哇大哭……希望武汉的家人旁友们都能好好的，夏天我一定会去找你们吃热干面三鲜豆皮面窝米酒的 收起全文d,收藏转发评论 1赞22,02月01日 22:44地上捡的iPhone X
Abbey_Laura_San,普通用户,海外 新加坡,新文发布！疫情不是任何国家的孤立事件，而是全人类共同挑战，需要全球治理合作。世卫宣布列入全球关注的突发公共卫生事件（PHEIC），虽影响经济，但对尽早结束疫情十分必要，能帮中国获得更多国际支援，也能帮助各国尽早渡过难关。关注微信公众号@环行星球 可以听到本文语音版。『新冠病毒海外确诊130例，全球范围内的突发疫情究竟有多严重？』O新冠病毒海外确诊130例，全球范围内的突发疫情究竟有多严重？ 收起全文d,收藏转发评论赞,02月01日 22:52HUAWEI P20 Pro
Abiiiiiiii,普通用户,其他,我的胆子被假期养没了 想到疫情结束之后要上班跟要跑八百米一样恐惧 想到想换工作又要适应新环境跟小学五年级重新认识同学一样害怕 疫情快点结束吧 上班么晚点上吧 好不好啊?? ?,收藏转发评论 8赞,02月01日 22:58一条锦鲤
ABTV直播阿坝,蓝V,None,????????????????????????????红原版新冠肺炎防疫秘籍来了（安多口语）速转！O????????????????????????????红原版新冠肺炎防疫秘籍来了（安多口语）速转！ ?,收藏转发评论赞,02月01日 22:49微博 weibo.com
Adela-小武,黄V,江苏,在家连续吃了俩天火锅#武汉你好吗# 期待疫情快快结束！ 2南京 ?,收藏转发评论赞1,02月01日 22:59iPhone客户端
Anananal,普通用户,上海 浦东新区,2003年非典，我还是一名高二的学生。 没有担忧、没有害怕，一切如常～这一次的新冠，湖北封省，而我恰巧也在。从最初的焦虑不安到现在逐步调整自己，每天吃吃睡睡、刷刷段子、打打球～可夜深人静的时候，恍惚间，还是觉得像一场梦。过去的，看似平常的每一天都是值得好好珍惜的～现在，最大的愿望就是疫情早点儿结束，一切都恢复往昔的生机，国泰民安?????? 收起全文d,收藏转发评论赞1,02月01日 22:18iPhone客户端
anueor,黄V,四川,外科风云最后一集让我想起了这次新冠 ?,收藏转发评论赞1,02月01日 22:38全屏双摄 OPPO A5
AOYOU-JT視覺,普通用户,广东 广州,???? 致敬坚守疫情防控的一线工作人员??#家在中国# 2广州 LAOYOU-JT視覺的微博视频 ?,收藏转发评论赞,02月01日 22:58HUAWEI Mate 30 5G
ArchiveQNess,普通用户,其他,互相关注下进展吧！美国首例新冠病毒确诊病例康复全记录里就已经有了，而且人家发表的论文是这样的类型！ ?,收藏转发评论赞1,02月01日 22:58iPhone客户端
Artist刘相任,普通用户,海外,#国新办疫情发布会#新冠肺炎疫情实时动态 #最新疫情地图# ?,收藏转发评论赞,02月01日 22:15媒体焦点Android
BBCLUB狂想曲,普通用户,香港,願拔一切衆生苦，心存慈悲，送上祝福 ?? 轉載文章！請看看下面的对话，或許对我們有帮助！? 新冠病毒科学问答 ?1.新冠状病毒在普通环境中能存活多久？答：病毒只能存活于生物体细胞内，室温情况下基本不能存活。2.专家说，这个病毒在56℃水中30分钟灭活。100℃开水中，多久灭活？答：病毒仅在动物体内存活，体外不能存活，所以物品不用煮。3.病毒离开了人体，在日常物品比如门把手、手机上，还能存活多久？病毒离开活体，北方零下10度的低温会死吗？答：该病毒不是消化道传播的，摸了门把手、手机，不去抠鼻子、摸眼睛就行。病毒离开人体不能存活。4.家里有84消毒液，也有酒精，请问该怎么用？答：84消毒液、酒精对大部分细菌等微生物有杀灭作用，但是病毒离开人体不能存活，用84消毒液、酒精等消毒剂擦地擦物品其实意义不大。5.这种病毒会感染猫狗吗？答：目前没有发现。6.出门除了戴口罩，是否应该戴一次性手套？答：没有必要。怕冷就戴手套。注意洗手更重要。7.外出的话，多戴几个药店卖的普通医用口罩能提高防护作用吗？答：不用。室外活动单层就够了。8.和陌生人说话，距离多远安全？假如不和陌生人说话，路上擦肩而过会传染上吗？答：距离是一方面，但重要的不要对着人打喷嚏、咳嗽。9.能吃生的蔬菜吗？比如沙拉。答：新冠病毒不经消化道传播，可以吃沙拉。10.几乎不出门，附近还没有病例出现，请问戴普通的一次性口罩可以吗？答：可以的。11.请问潜伏期有症状吗？潜伏期传染性大吗？答：最短1-2天，最长10~12天，平均7天。医学观察为14天。潜伏期内有一定传染性。患者出现高热的时候传染性最强。12.新冠感染和普通感冒症状上怎么区别？答：新冠感染主要有发烧，局部呼吸道症状通常不重，部分人会出现严重的呼吸困难或全身受损表现。这些是与普通感冒最大的区别。13.目前到底有没有特效药？答：目前没有。治疗原则主要是对症和支持。14.那些能自愈的人都有啥特点？病重去世的人有哪些特点？答：自愈与体质有关，多为免疫功能健全的人。病重去世者多为老年人、有基础病者。15.治愈出院的患者有可能二次感染吗？康复后应该如何护理？答：目前认为不会，因为有抗体了。具体如何康复要根据病人的恢复情况。16.吃普通的感冒药或抗生素对该病毒有效吗？答：无效 收起全文d,收藏转发评论赞,02月01日 22:26微博 HTML5 版
beilam,普通用户,海外 加拿大,#凤凰新闻#分享凤凰新闻：实时疫情地图：全国新型肺炎确诊11891例 死亡259例O网页链接来自@凤凰新闻客户端 ?,收藏转发评论赞,02月01日 22:58iPhone客户端
Beinoen百诺恩团子妈,黄V,湖南,#百诺恩全国累计确诊9692例# 《新型冠状病毒感染的肺炎公众防护指南》来了，快get??感染新冠病毒的症状是什么？哪些人是可疑暴露者？出现哪些症状需要就医？目前有无特效药和疫苗？……有关新冠病毒??最想知道的10件事，马住学习！！！ ?,收藏转发评论赞,02月01日 22:52微博 weibo.com
bjkefs,普通用户,其他,前两天逗他说我好想他哦 哎 今天真的好想他 吗的 这个疫情 搞的没法正常下班 烦死了！！！ 太讨厌异地了 现在就想亲亲小刘 抱抱他 好烦！！！ ?,收藏转发评论赞,02月01日 22:57iPhone客户端
BJ田夫野老,普通用户,其他,主人被隔离猫咪遭社区活埋 社区回应新京报02-01 18:102月1日，一位豆瓣瓣友发帖称，江苏无锡一猫主人因疑似感染新冠肺炎被隔离检查，社区把他家的猫活埋了。社区所在东亭街道政务服务中心工作人员，向@紧急呼叫 发来一份明泉社区的回应，称猫主人核酸检测是阳性，社区为有效切断传染病传播途径，对该动物采取了措施。2月1日13时，猫主人发微博：本人已经和社区相关人员沟通，会得到妥善处置。 收起全文d,收藏转发评论 4赞,02月01日 19:25iPhone客户端
bluecoffee,普通用户,江苏 南通,基于本次疫情有部分为轻症患者不一定就诊，甚至部分患者感染后而无症状，所以CDC应该尽快在武汉做一个至少十万起步的社区人群流调，评估新冠的感染率、危重率，死亡率等，从而为下阶段疫情的科学防控提供决策支持！ 2南通·海门 ?,收藏转发 1评论赞3,02月01日 22:13小米MIX 3 滑盖全面屏
BlueSky-1988,普通用户,吉林 长春,80后的我们，经历了03年非典，现在又来了一个新冠，这样的事情不知道会经历多少，但是我相信中国永远能挺住！ ?,收藏转发评论赞,02月01日 22:14HUAWEI Mate 10 Pro
Bmyoo-7-10,普通用户,四川 成都,#美首例新冠患者用伦地西韦有效# 希望英谋论是我多想了 ?,收藏转发评论赞,02月01日 22:11iPhone客户端
bossdu,普通用户,其他,看新闻国内准备上吉利德的抗病毒药，这个公司不是一般的牛逼，在抗病毒领域是神一般的存在，相比较双黄连，这才是抗击新冠肺炎的出路。 ?,收藏转发评论赞,02月01日 22:03iPhone客户端
by张大春,普通用户,辽宁,什么时候疫情能解除？在家待的都快发霉了。#新冠肺炎最新动态# ?,收藏转发评论赞,02月01日 22:43OPPO Reno2
caizixei,普通用户,广东,新冠肺炎与经济的图表是相当的，经济好，人员流动大，感染的人肯定多。 2江门·天鹅湾 ?,收藏转发评论赞,02月01日 22:23iPhone客户端
cc晨宝宝cc,普通用户,上海 杨浦区,这年头还真有的人过年不出门闲的就会在友圈里瞎bb疫情怎么怎么，微博啥热跟啥风，恨不得一天发几十条，一副自命不凡，自以为自己三观正确，多有正义感的样子…………奈何连个捐款也不舍的捐，过年不出门可把有的键盘侠憋坏了。走好不送 ?,收藏转发评论赞,02月01日 22:57iPhone客户端
chenruiruic,普通用户,其他,最近全国上下都在关注疫情的发展情况，新冠肺炎感染人数在不断增加，武汉医疗物资更是稀缺，病毒传播方式主要是接触传播和飞沫传播，像大家戴的普通外科口罩就行了，把N95口罩留给更需要一线的医护人员，也请大家不要乱发布非官方证实的消息。让我们众志成城，万众一心，无论结果如何我们都相信选择希望，也呼吁大家以后不要乱吃野味，不要在伤害野生动物！ 2枣庄 收起全文d,收藏转发评论赞,02月01日 22:17vivo X23全息幻彩
chris_zhouchen,普通用户,其他,华人科学家跨洋喊话，尽快协商将伦地西韦用于新冠病毒 O华人科学家跨洋喊话，尽快协商将伦地西韦用于新冠病毒 ?,收藏转发评论赞,02月01日 22:59ZAKER扎客Android版
CICILAB_,黄V,广东 广州,#深圳确诊患者粪便检测出新冠病毒# 我想缺德一下，发现不太合适…… ?,收藏转发评论 5赞6,02月01日 22:59微博 weibo.com
CielyYang,普通用户,安徽,胃痛哦，春天快点来吧，疫情快点走吧。 ?,收藏转发评论 5赞1,02月01日 22:58nova5Pro人像超级夜景
ClaireMaaa,普通用户,陕西 西安,希望明天一早醒来都是好消息疫情快散 一切都好起来???? ?,收藏转发评论 4赞,02月01日 22:59iPhone客户端
CQ骆驼刺,普通用户,重庆,关于新型冠状病毒感染肺炎疫情防控期间对主城区道路实施临时交通管制的通告O关于新型冠状病毒感染肺炎疫情防控期间对主城区道路实施临时交通管制的通告 ?,收藏转发评论赞,02月01日 22:59iPhone客户端
crystalexclusive,普通用户,其他,今天这种局面究竟是哪些人造成的？这个地球上本来过着的美好生活的我们全都被毁了……总有这种人以为医生赴前线哪怕死了都是应该的，稍有胆怯都是没有职业道德底线的渣。医生值得吗，为这些人？我觉得不值得，你们给医生多少钱，就凭几句白衣天使的高帽子就让人家去心甘情愿送命？我愿意赴前线，是因为我想保护我的家人，为了这个社会的稳定总要有人去负重前行……等有一天疫情过去，最大的功臣却成为了一个个无名英雄，表彰大会开始又是表彰那些呢……关心、募捐、救治、防治和追责这几件事不冲突……生命无价！#新冠肺炎最新动态# 2杭州 收起全文d,收藏转发评论赞,02月01日 22:30iPhone客户端
Da_ny,普通用户,广东 深圳,这个春节过得很跌宕起伏，1.12从武汉回到家第一周很快乐，慢慢的疫情发酵到1.23武汉宣布封城，我就变得越来越焦虑，每天打开电视和微博都在关注疫情。然后从收到第一条短信被告知初五武汉出发高铁停运，我就开始变得恐慌，每天都在刷票，买到了第二天又被告知取消，直到最后2.16号的机票也停飞，我彻底绝望，放弃了，不再折腾了，爱咋样就咋样，也不关心要封城到什么时候。马上跟公司联系，申请了移动办公，在家一样可以工作，心情开始变得平静。在家里工作不愁吃饭，可以吃着自家种的青菜，吃着自家养的鸡、养的鱼，不上班时还能溜溜狗，爬爬山。此时此刻，感觉对比回到工作城市每天被隔离在小区里，更加美好！ 2黄冈 收起全文d,收藏转发 1评论赞6,02月01日 22:57荣耀V30 PRO 5G
daiboa,普通用户,天津,#央视记者被红十字会保安阻拦#  是我信息了解不全面？ 百度查到的这个以精神病治疗为主的武汉市优抚医院也是目前新冠肺炎救治定点医院吗？ ?,收藏转发评论赞,02月01日 22:04360安全浏览器
Darekasan,普通用户,海外,因為新冠病毒 和幾個在同一城市的老同學變成戰友狀態 每天互相關心 結果今天因為聊到性別歧視和種族歧視以及刻板印象相關 完全聊崩 現在整個人懷疑人生 ?,收藏转发评论赞,02月01日 22:19iPhone客户端
David_成维忠,普通用户,上海 浦东新区,是时候换个方法换个思路来抗疫了！『“新冠肺炎”造成巨大网络恐慌，要想一个办法-沙烨-观察者网』O沙烨：关于新冠肺炎，该转变思路了 ?,收藏转发评论 1赞,02月01日 22:25HUAWEI P20
dididodowong,普通用户,四川,大年二十九，疫情还没现在这么严重，在外面吃了团年饭，表哥塞了6个口罩在我包里。之前，我爸无意之中买了5个口罩，现在它们都派上了用场。我妈和我爸都乖乖在家，不出门宅着就是最好的良药。而我除了去超市买菜买肉买生活必需品，2月3号就要开始上班了，口罩是不打算再买，每次用完我会喷点酒精，晾干再用。我舅舅是三甲医院退休的医务工作者，表哥在卫生系统工作，我从没想过要跟他们要口罩酒精之类的东西，所以，对新闻里说的“抢口罩、囤口罩、口罩二次回收”等各种消息很是无语。我妈经常说我智商低情商低，我一度深信不疑。可是，每逢有大事发生的时候，我觉得自己绝对属于双商在线的中年人。面对这些要命的事情，有人请愿奔赴前线，有人想方设法逃离家乡躲避检查……这让我想起了2008年地震，我们那时上班日夜颠倒，24小时随时轮班，虽然大部分时间我都在完成后期编辑工作，但也有深入灾区的时候。同行的记者们普遍年长我几岁，有家庭的居多，可是从他们的眼神里看不到丝毫恐惧。眼下，我们看到的每一条有价值的新闻报道，都是因为那些不惧生死，站在一线岗位上的医务工作者和新闻工作者的贡献，他们的付出绝不是为了号召大家去抢口罩，买双黄连。死神不会因为我们的恐惧而离开，但却可以因为我们的愚昧和无知，来得更快。但愿，我们都能避开那些自私、愚蠢、狭隘，多点分享世间温情、明日阳光。 收起全文d,收藏转发评论 30赞7,02月01日 22:49iPhone客户端
Dreamboat若Rona,普通用户,天津 河东区,假期延迟，终于不用心惊胆战了，打好这场防疫站，武汉加油！希望大家都能平平安安、健健康康的抗过这场疫情！ ?,收藏转发评论赞,02月01日 22:57偉大若若的iPhone 6s Plus(玫瑰金)
dtangwork,普通用户,重庆,经历了2003年的非典、今天又经历新冠肺炎，想想我的人生经历真的丰富… ?,收藏转发 1评论赞,02月01日 22:20iPhone客户端
D丁C丁A丁D丁,黄V,海外 其他,野兽国beastkindom沙漠蝙蝠侠哈哈哈哈哈哈哈哈哈wdnmd哈哈哈哈哈哈哈哈头都要笑掉了这就是新冠batman吧？ ?,收藏转发 2评论赞1,02月01日 22:13iPhone客户端
D女郎私黛金枝,普通用户,广西 防城港,武汉，加油！中国，加油！众志成城，万众一心！疫情无情人有情！汴禧集团爱心助力武汉抗疫！?? LD女郎私黛金枝的微博视频 ?,收藏转发评论赞,02月01日 22:59iPhone客户端
EchoArya-,普通用户,北京,#抗击肺炎关爱医护# 小善意，大温暖。我在“疫情一线医护?守护者后盾行动”项目捐款成功！愿点滴之举温暖更多心灵。您每捐款1元，新浪同时配捐1元！ @北京感恩公益基金会http://t.cn/A6Pfslok ?,收藏转发 1评论赞,02月01日 22:59微公益
Eileen爱美丽,普通用户,江苏 南京,又到了初九拜天公的日子，哥哥发了我这张图片，此刻家里正在举行着简单又隆重的祭拜??????，真心祈祷疫情早日结束，国泰民安！ ?,收藏转发评论赞6,02月01日 22:57iPhone客户端
EMMALIKA,黄V,上海 浦东新区,沉淀了几天，越想越不对劲，不过不想多说，让数据说话吧。多点理智，少些歇斯底里人云亦云，为了自己，也为了他人。『“新冠肺炎”造成巨大网络恐慌，要想一个办法-沙烨-观察者网』O沙烨：关于新冠肺炎，该转变思路了 ?,收藏转发评论 12赞12,02月01日 22:23iPhone 11 Pro Max
ERDOS鄂尔多斯微博,蓝V,None,#鄂尔多斯温暖全世界# 鄂尔多斯集团捐赠紧缺医疗物资及现金共计2000万元，用于抗击新型冠状病毒疫情。#抗击新型肺炎企业公益在行动# @微公益 ?,收藏转发 55评论 74赞371,02月01日 22:57iPhone客户端
